Sale Date,Item,Category,Qty,Price Each,Amount,Order #,Customer Email,Payment Type,Cashier
9/14/2025 7:59 AM,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1099,,Visa,Jordan
2025-09-14 08:13,Latte,Hot Coffee,1,$4.50,,ORD-1100,regular3@gmail.com,Cash,Alex
2025-09-14 08:38,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1101,guest6017@yahoo.com,Amex,Maria
9/14/2025 8:38 AM,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1101,guest6017@yahoo.com,Cash,Maria
9/15/2025 1:32 PM,Latte,Hot Coffee,2,$4.50,,ORD-1102,guest1667@yahoo.com,Visa,Sam
9/15/2025 2:39 PM,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1103,,Cash,Alex
Sep 15 2025 14:39,Chai Latte,Tea,1,$4.25,$4.25,ORD-1103,,Mastercard,Priya
2025-09-15 15:30,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1104,regular5@gmail.com,Amex,Maria
Sep 16 2025 13:16,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1105,regular1@gmail.com,Amex,Alex
9/16/2025 1:16 PM,Breakfast Sandwich,Food,1,$6.50,$6.50,ORD-1105,regular1@gmail.com,Visa,Priya
9/16/2025 12:03 PM,Chai Latte,Tea,1,$4.25,$4.25,ORD-1106,regular5@gmail.com,Mastercard,Priya
2025-09-16 11:26,Drip Coffee,,,$2.75,$2.75,ORD-1107,guest1782@yahoo.com,Visa,Jordan
9/16/2025 11:37 AM,Cold Brew,Cold Coffee,2,$4.50,,ORD-1108,regular6@gmail.com,Mastercard,Jordan
Sep 16 2025 11:37,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1108,regular6@gmail.com,Apple Pay,Jordan
2025-09-16 11:33,Breakfast Sandwich,Food,1,$6.50,$6.50,ORD-1109,,Cash,Priya
9/17/2025 8:12 AM,Cold Brew,,1,$4.50,$4.50,ORD-1110,guest9305@yahoo.com,Apple Pay,Sam
9/17/2025 8:12 AM,Croissant,Bakery,1,$3.25,,ORD-1110,guest9305@yahoo.com,Cash,Alex
9/18/2025 8:02 AM,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1111,regular5@gmail.com,Visa,Sam
9/18/2025 8:02 AM,Iced Latte,,1,$4.75,$4.75,ORD-1111,regular5@gmail.com,Mastercard,Maria
2025-09-18 14:21,Breakfast Sandwich,Food,2,$6.50,$13.00,ORD-1112,,Cash,Sam
9/18/2025 9:46 AM,Cold Brew,Cold Coffee,,$4.50,$4.50,ORD-1113,regular5@gmail.com,Visa,Sam
2025-09-18 09:46,ICED LATTE,Cold Coffee,1,$4.75,,ORD-1113,regular5@gmail.com,Apple Pay,Alex
9/19/2025 10:42 AM,Drip Coffee,,1,$2.75,$2.75,ORD-1114,regular7@gmail.com,Mastercard,Jordan
9/19/2025 7:06 AM,Drip Coffee,Hot Coffee,1,$2.75,,ORD-1115,,Apple Pay,Priya
2025-09-19 07:06,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1115,,Cash,Alex
9/19/2025 10:03 AM,avocado toast  ,Food,1,$7.50,$7.50,ORD-1116,guest4548@yahoo.com,Mastercard,Jordan
2025-09-19 10:03,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1116,guest4548@yahoo.com,Apple Pay,Alex
2025-09-19 11:10,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1117,regular4@gmail.com,Cash,Jordan
9/19/2025 11:10 AM,Hot Tea,Tea,2,$2.95,$5.90,ORD-1117,regular4@gmail.com,Mastercard,Alex
2025-09-19 09:34,Croissant,Bakery,1,$3.25,,ORD-1118,guest7214@yahoo.com,Amex,Priya
2025-09-19 09:34,  Hot Tea,Tea,1,$2.95,$2.95,ORD-1118,guest7214@yahoo.com,Amex,Maria
9/19/2025 9:34 AM,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1118,guest7214@yahoo.com,Visa,Alex
2025-09-20 11:22,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1119,regular6@gmail.com,Mastercard,Jordan
Sep 20 2025 11:22,Chai Latte,Tea,1,$4.25,$4.25,ORD-1119,regular6@gmail.com,Cash,Jordan
9/20/2025 2:27 PM,Croissant,Bakery,1,$3.25,$3.25,ORD-1120,,Amex,Priya
2025-09-20 11:41,Croissant,Bakery,1,$3.25,$3.25,ORD-1121,guest4744@yahoo.com,Mastercard,Sam
2025-09-20 11:41,Breakfast Sandwich,Food,1,$6.50,$6.50,ORD-1121,guest4744@yahoo.com,Amex,Jordan
2025-09-20 07:54,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1122,guest3999@yahoo.com,Visa,Priya
2025-09-20 07:54,LATTE,Hot Coffee,1,$4.50,$4.50,ORD-1122,guest3999@yahoo.com,Mastercard,Priya
2025-09-20 09:47,croissant  ,Bakery,1,$3.25,$3.25,ORD-1123,,Mastercard,Jordan
Sep 20 2025 09:00,Croissant,Bakery,1,$3.25,$3.25,ORD-1124,regular7@gmail.com,Amex,Jordan
9/20/2025 9:00 AM,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1124,regular7@gmail.com,Apple Pay,Maria
Sep 20 2025 13:09,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1125,guest7771@yahoo.com,Amex,Alex
2025-09-20 16:43,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1126,regular1@gmail.com,Visa,Alex
9/20/2025 4:43 PM,  Cappuccino,,1,$4.25,$4.25,ORD-1126,regular1@gmail.com,Mastercard,Priya
2025-09-20 07:00,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1127,regular2@gmail.com,Apple Pay,Maria
Sep 20 2025 07:00,Latte,Hot Coffee,1,$4.50,,ORD-1127,regular2@gmail.com,Mastercard,Maria
2025-09-20 10:13,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1128,guest8185@yahoo.com,Amex,Maria
Sep 21 2025 14:00,iced latte  ,Cold Coffee,1,$4.75,$4.75,ORD-1129,regular6@gmail.com,Mastercard,Sam
9/21/2025 7:02 AM,Cappuccino,Hot Coffee,,$4.25,$4.25,ORD-1130,,Mastercard,Alex
2025-09-21 07:02,Chai Latte,Tea,1,$4.25,$4.25,ORD-1130,,Apple Pay,Sam
2025-09-21 07:02,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1130,,Apple Pay,Alex
2025-09-21 16:41,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1131,guest2932@yahoo.com,Amex,Priya
2025-09-21 11:25,Avocado Toast,Food,1,$7.50,$7.50,ORD-1132,regular1@gmail.com,Visa,Priya
2025-09-22 14:05,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1133,regular8@gmail.com,Visa,Alex
2025-09-22 14:05,Croissant,Bakery,1,$3.25,$3.25,ORD-1133,regular8@gmail.com,Apple Pay,Sam
Sep 22 2025 10:33,Cold Brew,,1,$4.50,$4.50,ORD-1134,regular2@gmail.com,Visa,Jordan
Sep 22 2025 10:33,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1134,regular2@gmail.com,Amex,Sam
9/22/2025 7:42 AM,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1135,regular2@gmail.com,Mastercard,Maria
2025-09-22 12:05,Hot Tea,Tea,1,$2.95,,ORD-1136,regular8@gmail.com,Apple Pay,Sam
Sep 23 2025 11:55,  Cappuccino,Hot Coffee,2,$4.25,$8.50,ORD-1137,,Visa,Jordan
2025-09-23 10:49,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1138,,Cash,Maria
2025-09-23 10:49,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1138,,Apple Pay,Maria
2025-09-23 10:49,Drip Coffee,Hot Coffee,,$2.75,$2.75,ORD-1138,,Cash,Alex
2025-09-23 13:51,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1139,,Amex,Maria
2025-09-23 13:51,Chai Latte,Tea,1,$4.25,$4.25,ORD-1139,,Visa,Alex
2025-09-23 13:51,Bagel w/ Cream Cheese,,1,$3.75,$3.75,ORD-1139,,Cash,Maria
9/24/2025 9:33 AM,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1140,,Apple Pay,Alex
Sep 24 2025 09:33,Cold Brew,Cold Coffee,1,$4.50,,ORD-1140,,Cash,Alex
Sep 24 2025 12:50,Cappuccino,,,$4.25,$4.25,ORD-1141,regular6@gmail.com,Apple Pay,Maria
2025-09-24 08:49,bagel w/ cream cheese  ,,1,$3.75,$3.75,ORD-1142,regular2@gmail.com,Apple Pay,Alex
2025-09-24 08:49,Avocado Toast,Food,1,$7.50,$7.50,ORD-1142,regular2@gmail.com,Amex,Sam
2025-09-24 08:49,Chai Latte,,1,$4.25,$4.25,ORD-1142,regular2@gmail.com,Apple Pay,Jordan
2025-09-24 08:54,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1143,regular4@gmail.com,Amex,Sam
9/24/2025 8:54 AM,Latte,Hot Coffee,,$4.50,$4.50,ORD-1143,regular4@gmail.com,Amex,Sam
2025-09-24 10:23,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1144,regular2@gmail.com,Cash,Maria
2025-09-25 15:55,Chai Latte,,1,$4.25,$4.25,ORD-1145,guest3289@yahoo.com,Cash,Alex
2025-09-25 15:55,  Hot Tea,Tea,1,$2.95,$2.95,ORD-1145,guest3289@yahoo.com,Visa,Alex
2025-09-25 09:15,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1146,regular5@gmail.com,Apple Pay,Sam
Sep 25 2025 12:50,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1147,,Visa,Sam
2025-09-25 09:26,  Blueberry Muffin,Bakery,,$3.50,$3.50,ORD-1148,,Cash,Priya
2025-09-25 08:23,iced latte  ,Cold Coffee,1,$4.75,$4.75,ORD-1149,guest7700@yahoo.com,Cash,Priya
9/26/2025 12:48 PM,Croissant,Bakery,1,$3.25,,ORD-1150,regular4@gmail.com,Cash,Priya
2025-09-26 13:21,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1151,regular8@gmail.com,Cash,Maria
9/26/2025 12:36 PM,Hot Tea,,2,$2.95,$5.90,ORD-1152,guest1076@yahoo.com,Amex,Priya
2025-09-26 13:03,  Iced Latte,,1,$4.75,$4.75,ORD-1153,regular2@gmail.com,Mastercard,Priya
2025-09-27 07:44,avocado toast  ,Food,1,$7.50,$7.50,ORD-1154,,Visa,Sam
9/27/2025 8:29 AM,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1155,guest9204@yahoo.com,Amex,Maria
9/27/2025 3:01 PM,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1156,,Visa,Alex
Sep 27 2025 12:53,Hot Tea,,1,$2.95,$2.95,ORD-1157,,Amex,Sam
2025-09-27 12:53,AVOCADO TOAST,Food,1,$7.50,$7.50,ORD-1157,,Visa,Jordan
9/27/2025 4:49 PM,Latte,Hot Coffee,,$4.50,$9.00,ORD-1158,,Apple Pay,Alex
9/27/2025 12:51 PM,  Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1159,,Apple Pay,Priya
2025-09-27 12:51,Iced Latte,,2,$4.75,$9.50,ORD-1159,,Mastercard,Jordan
2025-09-28 11:17,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1160,regular2@gmail.com,Mastercard,Priya
2025-09-28 11:17,Cold Brew,Cold Coffee,,$4.50,$4.50,ORD-1160,regular2@gmail.com,Apple Pay,Jordan
2025-09-28 07:22,Cappuccino,Hot Coffee,1,$4.25,,ORD-1161,regular4@gmail.com,Apple Pay,Alex
2025-09-28 09:03,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1162,guest8207@yahoo.com,Visa,Maria
2025-09-28 11:54,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1163,regular2@gmail.com,Cash,Jordan
2025-09-28 11:54,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1163,regular2@gmail.com,Mastercard,Priya
2025-09-28 11:24,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1164,,Amex,Jordan
2025-09-28 11:24,Cappuccino,Hot Coffee,1,$4.25,$4.25,ORD-1164,,Cash,Alex
2025-09-28 09:53,Cappuccino,Hot Coffee,2,$4.25,,ORD-1165,,Mastercard,Priya
2025-09-29 16:33,Cold Brew,Cold Coffee,1,$4.50,,ORD-1166,,Amex,Alex
2025-09-29 10:41,Chai Latte,Tea,1,$4.25,$4.25,ORD-1167,guest3526@yahoo.com,Visa,Alex
2025-09-29 10:41,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1167,guest3526@yahoo.com,Mastercard,Priya
2025-09-29 14:26,  Avocado Toast,Food,1,$7.50,,ORD-1168,,Apple Pay,Sam
9/29/2025 12:00 PM,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1169,,Amex,Priya
9/29/2025 11:55 AM,  Chai Latte,Tea,1,$4.25,$4.25,ORD-1170,,Cash,Sam
9/30/2025 8:33 AM,Bagel w/ Cream Cheese,,1,$3.75,$3.75,ORD-1171,guest8659@yahoo.com,Visa,Sam
2025-09-30 08:06,latte  ,Hot Coffee,1,$4.50,$4.50,ORD-1172,,Visa,Maria
2025-09-30 08:06,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1172,,Amex,Alex
2025-09-30 08:06,Croissant,Bakery,1,$3.25,$3.25,ORD-1172,,Apple Pay,Maria
Sep 30 2025 09:25,Bagel w/ Cream Cheese,Bakery,1,$3.75,$3.75,ORD-1173,,Apple Pay,Alex
2025-10-01 09:25,COLD BREW,Cold Coffee,1,$4.50,$4.50,ORD-1174,,Visa,Maria
2025-10-01 09:25,Hot Tea,,1,$2.95,$2.95,ORD-1174,,Visa,Maria
2025-10-01 09:25,Iced Latte,Cold Coffee,1,$4.75,$4.75,ORD-1174,,Amex,Priya
2025-10-01 08:54,Chai Latte,Tea,2,$4.25,$8.50,ORD-1175,guest3145@yahoo.com,Apple Pay,Sam
10/1/2025 8:54 AM,Croissant,Bakery,1,$3.25,$3.25,ORD-1175,guest3145@yahoo.com,Mastercard,Sam
2025-10-01 08:54,Cold Brew,,1,$4.50,$4.50,ORD-1175,guest3145@yahoo.com,Cash,Sam
2025-10-01 11:23,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1176,,Amex,Maria
10/1/2025 11:23 AM,Blueberry Muffin,Bakery,2,$3.50,$7.00,ORD-1176,,Cash,Jordan
2025-10-01 08:54,Latte,Hot Coffee,2,$4.50,,ORD-1177,guest2600@yahoo.com,Visa,Alex
2025-10-06 09:30,Coffee Box (Catering),Food,160,$2.50,"$1,120.00",ORD-CATER1,office@bigco.com,Invoice,Maria
10/1/2025 8:47 AM,Hot Tea,Tea,1,$2.95,$2.95,ORD-1178,regular5@gmail.com,Cash,Sam
Oct 01 2025 08:47,Iced Latte,Cold Coffee,1,$4.75,,ORD-1178,regular5@gmail.com,Cash,Maria
10/1/2025 12:02 PM,Hot Tea,,1,$2.95,$2.95,ORD-1179,,Mastercard,Priya
2025-10-02 07:27,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1180,guest6575@yahoo.com,Visa,Jordan
10/8/2025 2:14 PM,Latte,Hot Coffee,1,$4.50,-$4.50,ORD-REF88,regular2@gmail.com,Visa,Sam
2025-10-02 07:27,Avocado Toast,,1,$7.50,$7.50,ORD-1180,guest6575@yahoo.com,Visa,Priya
2025-10-02 08:03,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1181,regular6@gmail.com,Apple Pay,Jordan
2025-10-02 08:41,Blueberry Muffin,Bakery,1,$3.50,$3.50,ORD-1182,guest5904@yahoo.com,Visa,Priya
Sep 20 2025 11:00,Drip Coffee,Hot Coffee,1,$0.00,FREE,ORD-COMP7,,Cash,Alex
2025-10-02 16:53,Latte,Hot Coffee,1,$4.50,$4.50,ORD-1183,,Amex,Sam
2025-10-02 16:53,DRIP COFFEE,Hot Coffee,1,$2.75,$2.75,ORD-1183,,Amex,Jordan
Oct 02 2025 07:45,Cold Brew,Cold Coffee,1,$4.50,,ORD-1184,regular5@gmail.com,Apple Pay,Alex
Oct 02 2025 12:05,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1185,regular1@gmail.com,Cash,Alex
N/A,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-BADDT,,Visa,Jordan
2025-10-03 08:52,Iced Latte,Cold Coffee,1,$4.75,,ORD-1186,guest4772@yahoo.com,Amex,Sam
Oct 03 2025 15:31,Croissant,Bakery,1,$3.25,$3.25,ORD-1187,guest3580@yahoo.com,Amex,Maria
10/3/2025 3:31 PM,Latte,Hot Coffee,,$4.50,$4.50,ORD-1187,guest3580@yahoo.com,Visa,Alex
2025-10-03 07:03,Latte,Hot Coffee,2,$4.50,$9.00,ORD-1188,guest7901@yahoo.com,Mastercard,Priya
10/3/2025 8:05 AM,Chai Latte,Tea,2,$4.25,$8.50,ORD-1189,guest9466@yahoo.com,Cash,Alex
2025-09-28 08:05,,Bakery,1,$3.25,$3.25,ORD-NOITM,guest5555@yahoo.com,Cash,Priya
10/4/2025 11:19 AM,Cold Brew,Cold Coffee,,$4.50,$4.50,ORD-1190,guest7899@yahoo.com,Cash,Maria
2025-10-04 11:19,Croissant,Bakery,1,$3.25,$3.25,ORD-1190,guest7899@yahoo.com,Amex,Alex
2025-10-04 11:19,Drip Coffee,Hot Coffee,1,$2.75,$2.75,ORD-1190,guest7899@yahoo.com,Mastercard,Sam
2025-10-04 08:42,Cold Brew,Cold Coffee,1,$4.50,$4.50,ORD-1191,regular8@gmail.com,Cash,Jordan
2025-10-04 08:32,Chai Latte,Tea,1,$4.25,$4.25,ORD-1192,guest2877@yahoo.com,Cash,Maria
,,,,,,,,,
2025-10-04 08:32,Iced Latte,Cold Coffee,1,$4.75,,ORD-1192,guest2877@yahoo.com,Visa,Jordan
2025-10-04 09:45,Breakfast Sandwich,Food,2,$6.50,$13.00,ORD-1193,regular2@gmail.com,Cash,Alex
10/4/2025 9:45 AM,ICED LATTE,Cold Coffee,1,$4.75,$4.75,ORD-1193,regular2@gmail.com,Apple Pay,Alex
Oct 04 2025 07:35,Hot Tea,Tea,1,$2.95,,ORD-1194,regular2@gmail.com,Cash,Jordan
